-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.037,  0.478
-183.720, 80.020, 1.212,  0.511
-183.696, 79.976, 1.418,  0.544
-183.670, 79.924, 1.627,  0.577
-183.644, 79.867, 1.798,  0.610
-183.618, 79.808, 1.869,  0.643
-183.594, 79.750, 1.838,  0.676
-183.571, 79.696, 1.656,  0.709
-183.551, 79.652, 1.415,  0.742
-183.532, 79.615, 1.250,  0.775
-183.512, 79.578, 1.275,  0.808
-183.490, 79.539, 1.303,  0.841
-183.468, 79.498, 1.347,  0.874
-183.445, 79.456, 1.416,  0.907
-183.420, 79.410, 1.505,  0.940
-183.395, 79.362, 1.594,  0.973
-183.369, 79.311, 1.659,  1.006
-183.343, 79.260, 1.674,  1.039
-183.318, 79.210, 1.656,  1.072
-183.293, 79.161, 1.631,  1.105
-183.268, 79.112, 1.606,  1.138
-183.243, 79.065, 1.576,  1.171
-183.219, 79.019, 1.546,  1.204
-183.194, 78.974, 1.521,  1.237
-183.170, 78.929, 1.503,  1.270
-183.146, 78.885, 1.497,  1.303
-183.121, 78.841, 1.502,  1.336
-183.097, 78.796, 1.518,  1.369
-183.072, 78.750, 1.544,  1.402
-183.046, 78.704, 1.574,  1.435
-183.020, 78.657, 1.603,  1.468
-182.994, 78.608, 1.627,  1.501
-182.968, 78.560, 1.642,  1.534
-182.942, 78.511, 1.648,  1.567
-182.916, 78.462, 1.646,  1.600
-182.890, 78.414, 1.638,  1.633
-182.864, 78.366, 1.627,  1.666
-182.839, 78.318, 1.615,  1.699
-182.813, 78.271, 1.606,  1.732
